time,price,size
2025-07-16D08:12:35.472000000,3159.3,0.0063
2025-07-16D08:12:38.822000000,3159.52,0.0063
2025-07-16D08:12:39.130000000,3159.52,0.0063
2025-07-16D08:12:39.149000000,3159.52,0.0079
2025-07-16D08:12:39.526000000,3159.52,0.0063
2025-07-16D08:12:39.820000000,3159.52,0.0063
2025-07-16D08:12:40.228000000,3159.51,0.018
2025-07-16D08:12:40.228000000,3159.51,1.0767
2025-07-16D08:12:40.228000000,3159.51,0.0668
2025-07-16D08:12:40.274000000,3159.52,0.0063
2025-07-16D08:12:40.505000000,3159.51,0.01
2025-07-16D08:12:44.804000000,3159.74,0.8241
2025-07-16D08:12:44.924000000,3159.75,0.006
2025-07-16D08:12:44.924000000,3159.75,0.006
2025-07-16D08:12:44.924000000,3159.75,0.0049
2025-07-16D08:12:44.924000000,3159.75,0.0219
2025-07-16D08:12:45.202000000,3159.74,0.279
2025-07-16D08:12:45.485000000,3159.75,0.0056
2025-07-16D08:12:45.522000000,3159.75,0.01
2025-07-16D08:12:45.541000000,3159.75,0.16
2025-07-16D08:12:45.650000000,3159.74,0.0197
2025-07-16D08:12:50.845000000,3160,0.006
2025-07-16D08:12:50.845000000,3160,0.006
2025-07-16D08:12:50.846000000,3160.01,0.0017
2025-07-16D08:12:50.846000000,3160.02,0.0017
2025-07-16D08:12:50.846000000,3160.03,0.0017
2025-07-16D08:12:50.846000000,3160.03,0.0018
2025-07-16D08:12:50.846000000,3160.05,0.0017
2025-07-16D08:12:50.846000000,3160.06,0.0017
2025-07-16D08:12:50.846000000,3160.07,0.0032
2025-07-16D08:12:50.846000000,3160.07,0.0017
2025-07-16D08:12:56.263000000,3160.65,0.0475
2025-07-16D08:12:56.263000000,3160.65,0.0017
2025-07-16D08:12:56.263000000,3160.65,0.0017
2025-07-16D08:12:56.263000000,3160.66,0.0155
2025-07-16D08:12:56.263000000,3160.66,0.0035
2025-07-16D08:12:56.263000000,3160.66,0.0017
2025-07-16D08:12:56.263000000,3160.67,0.0032
2025-07-16D08:12:56.263000000,3160.68,0.0016
2025-07-16D08:12:56.278000000,3160.69,0.0017
2025-07-16D08:12:56.278000000,3160.69,0.0017
2025-07-16D08:12:59.749000000,3160.38,0.8429
2025-07-16D08:13:00.187000000,3160.38,0.0063
2025-07-16D08:13:00.476000000,3160.38,0.0048
2025-07-16D08:13:00.545000000,3160.38,0.0069
2025-07-16D08:13:00.545000000,3160.38,0.0062
2025-07-16D08:13:00.993000000,3160.38,0.0313
2025-07-16D08:13:00.994000000,3160.38,0.0313
2025-07-16D08:13:00.997000000,3160.38,0.0034
2025-07-16D08:13:00.998000000,3160.38,0.0156
2025-07-16D08:13:00.998000000,3160.38,0.0025
2025-07-16D08:13:04.812000000,3160.2,0.0338
2025-07-16D08:13:04.914000000,3160.21,0.791
2025-07-16D08:13:05.103000000,3160.2,0.0048
2025-07-16D08:13:05.199000000,3160.2,0.12
2025-07-16D08:13:05.406000000,3160.2,0.05
2025-07-16D08:13:06.172000000,3160.21,0.0188
2025-07-16D08:13:06.280000000,3160.2,0.2881
2025-07-16D08:13:06.280000000,3160.2,1.3145
2025-07-16D08:13:06.605000000,3160.2,0.0035
2025-07-16D08:13:06.717000000,3160.21,0.0048
2025-07-16D08:13:11.722000000,3160.43,0.0017
2025-07-16D08:13:11.722000000,3160.44,0.0017
2025-07-16D08:13:11.722000000,3160.45,0.0032
2025-07-16D08:13:11.722000000,3160.45,0.0017
2025-07-16D08:13:11.722000000,3160.46,0.0017
2025-07-16D08:13:11.722000000,3160.46,0.0017
2025-07-16D08:13:11.722000000,3160.47,0.0017
2025-07-16D08:13:11.722000000,3160.48,0.0017
2025-07-16D08:13:11.722000000,3160.49,0.0017
2025-07-16D08:13:12.022000000,3160.49,0.0048
2025-07-16D08:13:15.414000000,3160.5,0.0326
2025-07-16D08:13:16.249000000,3160.5,0.0036
2025-07-16D08:13:16.351000000,3160.49,0.0168
2025-07-16D08:13:16.431000000,3160.5,0.2122
2025-07-16D08:13:16.644000000,3160.5,0.0017
2025-07-16D08:13:16.644000000,3160.5,0.0049
2025-07-16D08:13:16.644000000,3160.5,0.0042
2025-07-16D08:13:16.644000000,3160.5,0.006
2025-07-16D08:13:16.644000000,3160.5,0.0046
2025-07-16D08:13:17.113000000,3160.49,0.0266
2025-07-16D08:13:21.277000000,3160.69,0.0097
2025-07-16D08:13:21.277000000,3160.69,0.0121
2025-07-16D08:13:21.277000000,3160.69,0.0017
2025-07-16D08:13:21.277000000,3160.7,0.23
2025-07-16D08:13:21.280000000,3160.74,0.0017
2025-07-16D08:13:21.284000000,3160.75,0.0017
2025-07-16D08:13:21.284000000,3160.75,0.0101
2025-07-16D08:13:21.284000000,3160.75,0.0017
2025-07-16D08:13:21.284000000,3160.75,0.0018
2025-07-16D08:13:21.519000000,3160.76,0.01
2025-07-16D08:13:26.556000000,3161.19,0.0032
2025-07-16D08:13:26.556000000,3161.19,0.0017
2025-07-16D08:13:26.556000000,3161.19,0.0017
2025-07-16D08:13:26.556000000,3161.2,0.057
2025-07-16D08:13:26.556000000,3161.2,0.0078
2025-07-16D08:13:26.556000000,3161.2,0.3526
2025-07-16D08:13:26.750000000,3161.19,0.2483
2025-07-16D08:13:26.765000000,3161.2,0.0017
2025-07-16D08:13:26.765000000,3161.2,0.0153
2025-07-16D08:13:26.887000000,3161.2,1.5909
2025-07-16D08:13:32.365000000,3161.9,0.0017
2025-07-16D08:13:32.365000000,3161.9,0.0017
